county,month,year,unemp_rate,medicaid_enrollment,medicaid_per_1k,snap_persons,snap_benefits,snap_per_1k,crash_count,crashes_per_100k,mta_ridership,population
Albany,2018-01,2018,4.5,63394,206.77,34102.0,4188400.0,111.23,,,,306585
Albany,2018-02,2018,4.5,63319,206.53,33680.0,4109129.0,109.86,,,,306585
Albany,2018-03,2018,4.1,63610,207.48,33736.0,4101573.0,110.04,,,,306585
Albany,2018-04,2018,3.6,63595,207.43,33648.0,4074885.0,109.75,,,,306585
Albany,2018-05,2018,3.2,63542,207.26,33584.0,4092467.0,109.54,,,,306585
Albany,2018-06,2018,3.8,63590,207.41,33447.0,4084001.0,109.1,,,,306585
Albany,2018-07,2018,3.8,63461,206.99,33150.0,4077184.0,108.13,,,,306585
Albany,2018-08,2018,3.7,63450,206.96,32811.0,4111340.0,107.02,,,,306585
Albany,2018-09,2018,3.2,63205,206.16,32590.0,4094966.0,106.3,,,,306585
Albany,2018-10,2018,3.2,63188,206.1,32490.0,4144000.0,105.97,,,,306585
Albany,2018-11,2018,3.0,63301,206.47,32232.0,4105600.0,105.13,,,,306585
Albany,2018-12,2018,3.3,63368,206.69,32104.0,4106810.0,104.71,,,,306585
Albany,2019-01,2019,3.9,63479,207.78,32075.0,4072301.0,104.99,,,,305506
Albany,2019-02,2019,3.8,63364,207.41,31648.0,3996650.0,103.59,,,,305506
Albany,2019-03,2019,3.6,63354,207.37,31990.0,4001551.0,104.71,,,,305506
Albany,2019-04,2019,3.1,63301,207.2,31843.0,3988864.0,104.23,,,,305506
Albany,2019-05,2019,3.1,63546,208.0,31820.0,3984954.0,104.16,,,,305506
Albany,2019-06,2019,3.4,63562,208.05,31797.0,3985900.0,104.08,,,,305506
Albany,2019-07,2019,3.8,63601,208.18,31957.0,4025929.0,104.6,,,,305506
Albany,2019-08,2019,3.8,63718,208.57,31915.0,4025284.0,104.47,,,,305506
Albany,2019-09,2019,3.3,63605,208.2,31806.0,4007529.0,104.11,,,,305506
Albany,2019-10,2019,3.4,63670,208.41,31762.0,4059097.0,103.97,,,,305506
Albany,2019-11,2019,3.3,63406,207.54,31770.0,4042487.0,103.99,,,,305506
Albany,2019-12,2019,3.5,63352,207.37,31658.0,4031722.0,103.62,,,,305506
Albany,2020-01,2020,3.8,63442,201.86,31630.0,4000453.0,100.64,,,,314293
Albany,2020-02,2020,3.8,63396,201.71,31290.0,3947807.0,99.56,,,,314293
Albany,2020-03,2020,4.4,63420,201.79,31697.0,4000134.0,100.85,,,,314293
Albany,2020-04,2020,13.5,64735,205.97,33675.0,7436275.0,107.15,,,,314293
Albany,2020-05,2020,10.9,65719,209.1,34859.0,6131723.0,110.91,,,,314293
Albany,2020-06,2020,9.2,66424,211.34,35151.0,5874893.0,111.84,,,,314293
Albany,2020-07,2020,8.7,67292,214.11,34686.0,6353303.0,110.36,,,,314293
Albany,2020-08,2020,6.9,68112,216.71,33989.0,5969850.0,108.14,,,,314293
Albany,2020-09,2020,6.2,68954,219.39,34609.0,5727390.0,110.12,,,,314293
Albany,2020-10,2020,5.1,69820,222.15,35315.0,7071282.0,112.36,,,,314293
Albany,2020-11,2020,4.9,70444,224.13,34850.0,6508082.0,110.88,,,,314293
Albany,2020-12,2020,5.3,71426,227.26,34589.0,6435329.0,110.05,,,,314293
Albany,2021-01,2021,5.8,72236,228.45,33909.0,7187785.0,107.24,655.0,207.15,,316195
Albany,2021-02,2021,6.0,72531,229.39,34198.0,7459356.0,108.15,647.0,204.62,,316195
Albany,2021-03,2021,5.6,73183,231.45,34205.0,7369808.0,108.18,575.0,181.85,,316195
Albany,2021-04,2021,4.8,73768,233.3,33837.0,8167920.0,107.01,591.0,186.91,,316195
Albany,2021-05,2021,4.4,74115,234.4,33857.0,8184309.0,107.08,640.0,202.41,,316195
Albany,2021-06,2021,4.8,74529,235.71,33982.0,8120901.0,107.47,773.0,244.47,,316195
Albany,2021-07,2021,4.7,75024,237.27,34130.0,8188782.0,107.94,724.0,228.97,,316195
Albany,2021-08,2021,4.4,75360,238.33,34145.0,8253923.0,107.99,761.0,240.67,,316195
Albany,2021-09,2021,3.6,76005,240.37,34341.0,8254720.0,108.61,716.0,226.44,,316195
Albany,2021-10,2021,3.3,76577,242.18,34053.0,8794453.0,107.7,917.0,290.01,,316195
Albany,2021-11,2021,3.0,76916,243.25,34188.0,8836820.0,108.12,920.0,290.96,,316195
Albany,2021-12,2021,2.7,77699,245.73,34324.0,8954731.0,108.55,913.0,288.75,,316195
Albany,2022-01,2022,3.5,78208,247.68,34202.0,8861944.0,108.32,831.0,263.17,,315764
Albany,2022-02,2022,3.6,78743,249.37,34309.0,8900409.0,108.65,887.0,280.91,,315764
Albany,2022-03,2022,3.3,79333,251.24,34608.0,8946362.0,109.6,748.0,236.89,,315764
Albany,2022-04,2022,2.8,79478,251.7,34173.0,8899369.0,108.22,662.0,209.65,,315764
Albany,2022-05,2022,2.8,79889,253.0,34256.0,8851407.0,108.49,742.0,234.99,,315764
Albany,2022-06,2022,3.2,80250,254.15,34503.0,8903354.0,109.27,726.0,229.92,,315764
Albany,2022-07,2022,3.4,80804,255.9,34494.0,8878273.0,109.24,783.0,247.97,,315764
Albany,2022-08,2022,3.4,81196,257.14,34461.0,8866807.0,109.14,808.0,255.89,,315764
Albany,2022-09,2022,2.8,81827,259.14,34362.0,8941350.0,108.82,806.0,255.25,,315764
Albany,2022-10,2022,2.7,82156,260.18,34241.0,9938479.0,108.44,827.0,261.9,,315764
Albany,2022-11,2022,2.8,82403,260.96,33981.0,9918559.0,107.62,948.0,300.22,,315764
Albany,2022-12,2022,2.7,83017,262.91,33903.0,9913735.0,107.37,932.0,295.16,,315764
Albany,2023-01,2023,3.4,83480,262.85,33442.0,9677027.0,105.3,747.0,235.21,,317590
Albany,2023-02,2023,3.4,83807,263.88,33515.0,9735789.0,105.53,726.0,228.6,,317590
Albany,2023-03,2023,3.0,84355,265.61,33496.0,6741302.0,105.47,762.0,239.93,,317590
Albany,2023-04,2023,2.5,84502,266.07,34450.0,6797005.0,108.47,659.0,207.5,,317590
Albany,2023-05,2023,2.8,84774,266.93,34340.0,6708794.0,108.13,768.0,241.82,,317590
Albany,2023-06,2023,3.1,85420,268.96,33933.0,6608589.0,106.85,725.0,228.28,,317590
Albany,2023-07,2023,3.3,84514,266.11,33593.0,6542382.0,105.77,766.0,241.19,,317590
Albany,2023-08,2023,3.5,83233,262.08,33306.0,6514614.0,104.87,774.0,243.71,,317590
Albany,2023-09,2023,3.2,82094,258.49,32665.0,6386216.0,102.85,785.0,247.17,,317590
Albany,2023-10,2023,3.3,80939,254.85,32576.0,6704141.0,102.57,865.0,272.36,,317590
Albany,2023-11,2023,3.1,79721,251.02,32321.0,6575954.0,101.77,846.0,266.38,,317590
Albany,2023-12,2023,3.4,78067,245.81,32358.0,6672366.0,101.89,885.0,278.66,,317590
Albany,2024-01,2024,3.6,76983,240.8,32123.0,6537165.0,100.48,938.0,293.4,,319702
Albany,2024-02,2024,3.8,76177,238.28,31787.0,6423569.0,99.43,647.0,202.38,,319702
Albany,2024-03,2024,3.5,75549,236.31,31870.0,6482089.0,99.69,771.0,241.16,,319702
Albany,2024-04,2024,3.1,74111,231.81,32299.0,6592253.0,101.03,701.0,219.27,,319702
Albany,2024-05,2024,3.2,72875,227.95,32501.0,6563593.0,101.66,775.0,242.41,,319702
Albany,2024-06,2024,3.4,71797,224.57,32549.0,6544379.0,101.81,755.0,236.16,,319702
Albany,2024-07,2024,3.7,71580,223.9,32429.0,6484886.0,101.44,702.0,219.58,,319702
Albany,2024-08,2024,3.7,71796,224.57,32221.0,6508933.0,100.78,740.0,231.47,,319702
Albany,2024-09,2024,3.0,71561,223.84,31943.0,6403331.0,99.91,780.0,243.98,,319702
