county,month,enrollment
Albany,2018-01,63394
Allegany,2018-01,12378
Bronx,2018-01,817200
Broome,2018-01,53759
Cattaraugus,2018-01,21645
Cayuga,2018-01,19692
Chautauqua,2018-01,39092
Chemung,2018-01,25993
Chenango,2018-01,13841
Clinton,2018-01,20055
Columbia,2018-01,14256
Cortland,2018-01,11621
Delaware,2018-01,10446
Dutchess,2018-01,55168
Erie,2018-01,239087
Essex,2018-01,8587
Franklin,2018-01,14587
Fulton,2018-01,14642
Genesee,2018-01,12487
Greene,2018-01,12271
Hamilton,2018-01,718
Herkimer,2018-01,16344
Jefferson,2018-01,28288
Kings,2018-01,1170696
Lewis,2018-01,5338
Livingston,2018-01,12153
Madison,2018-01,15914
Monroe,2018-01,194594
Montgomery,2018-01,18037
Nassau,2018-01,250837
New York,2018-01,447608
Niagara,2018-01,52719
Oneida,2018-01,70762
Onondaga,2018-01,116509
Ontario,2018-01,21670
Orange,2018-01,100069
Orleans,2018-01,10879
Oswego,2018-01,33043
Otsego,2018-01,13055
Putnam,2018-01,13135
Queens,2018-01,920675
Rensselaer,2018-01,34549
Richmond,2018-01,137876
Rockland,2018-01,106272
Saratoga,2018-01,32573
Schenectady,2018-01,43661
Schoharie,2018-01,6896
Schuyler,2018-01,3754
Seneca,2018-01,7892
St. Lawrence,2018-01,29076
Steuben,2018-01,25149
Suffolk,2018-01,307071
Sullivan,2018-01,25346
Tioga,2018-01,11512
Tompkins,2018-01,16056
Ulster,2018-01,43814
Warren,2018-01,15003
Washington,2018-01,16305
Wayne,2018-01,21268
Westchester,2018-01,205384
Wyoming,2018-01,8474
Yates,2018-01,4934
Albany,2018-02,63319
Allegany,2018-02,12390
Bronx,2018-02,816942
Broome,2018-02,53803
Cattaraugus,2018-02,21654
Cayuga,2018-02,19706
Chautauqua,2018-02,39041
Chemung,2018-02,25928
Chenango,2018-02,13794
Clinton,2018-02,20115
Columbia,2018-02,14245
Cortland,2018-02,11694
Delaware,2018-02,10425
Dutchess,2018-02,55347
Erie,2018-02,239101
Essex,2018-02,8588
Franklin,2018-02,14542
Fulton,2018-02,14639
Genesee,2018-02,12427
Greene,2018-02,12288
Hamilton,2018-02,717
Herkimer,2018-02,16250
Jefferson,2018-02,28320
