county,year,population
Albany,2018,306585
Allegany,2018,46332
Bronx,2018,1432087
Broome,2018,191925
Cattaraugus,2018,76726
Cayuga,2018,77121
Chautauqua,2018,127472
Chemung,2018,83935
Chenango,2018,47445
Clinton,2018,80679
Columbia,2018,59785
Cortland,2018,47722
Delaware,2018,44526
Dutchess,2018,293939
Erie,2018,919717
Essex,2018,37288
Franklin,2018,50279
Fulton,2018,53633
Genesee,2018,57487
Greene,2018,47381
Hamilton,2018,4432
Herkimer,2018,61713
Jefferson,2018,111866
Kings,2018,2578074
Lewis,2018,26486
Livingston,2018,63213
Madison,2018,71117
Monroe,2018,742864
Montgomery,2018,49394
Nassau,2018,1357534
New York,2018,1629055
Niagara,2018,210060
Oneida,2018,229474
Onondaga,2018,461649
Ontario,2018,109738
Orange,2018,382126
Orleans,2018,40655
Oswego,2018,117515
Otsego,2018,59810
Putnam,2018,98814
Queens,2018,2274605
Rensselaer,2018,159283
Richmond,2018,476260
Rockland,2018,325522
Saratoga,2018,230170
Schenectady,2018,155079
Schoharie,2018,31146
Schuyler,2018,17884
Seneca,2018,34179
St. Lawrence,2018,108327
Steuben,2018,95860
Suffolk,2018,1480830
Sullivan,2018,75399
Tioga,2018,48441
Tompkins,2018,102419
Ulster,2018,178418
Warren,2018,64215
Washington,2018,61274
Wayne,2018,90200
Westchester,2018,968213
Wyoming,2018,40023
Yates,2018,24951
Albany,2019,305506
Allegany,2019,46091
Bronx,2019,1418207
Broome,2019,190488
Cattaraugus,2019,76117
Cayuga,2019,76576
Chautauqua,2019,126903
Chemung,2019,83456
Chenango,2019,47207
Clinton,2019,80485
Columbia,2019,59461
Cortland,2019,47581
Delaware,2019,44135
Dutchess,2019,294218
Erie,2019,918702
Essex,2019,36885
Franklin,2019,50022
Fulton,2019,53383
Genesee,2019,57280
Greene,2019,47188
Hamilton,2019,4416
Herkimer,2019,61319
Jefferson,2019,109834
Kings,2019,2559903
Lewis,2019,26296
Livingston,2019,62914
Madison,2019,70941
Monroe,2019,741770
Montgomery,2019,49221
Nassau,2019,1356924
New York,2019,1628706
Niagara,2019,209281
Oneida,2019,228671
Onondaga,2019,460528
Ontario,2019,109777
Orange,2019,384940
Orleans,2019,40352
Oswego,2019,117124
Otsego,2019,59493
Putnam,2019,98320
Queens,2019,2253858
Rensselaer,2019,158714
Richmond,2019,476143
Rockland,2019,325789
Saratoga,2019,229863
Schenectady,2019,155299
Schoharie,2019,30999
Schuyler,2019,17807
Seneca,2019,34016
St. Lawrence,2019,107740
Steuben,2019,95379
Suffolk,2019,1476601
Sullivan,2019,75432
Tioga,2019,48203
Tompkins,2019,102180
Ulster,2019,177573
Warren,2019,63944
Washington,2019,61204
Wayne,2019,89918
Westchester,2019,967506
Wyoming,2019,39859
Yates,2019,24913
Albany,2020,314293
Allegany,2020,46385
Bronx,2020,1461233
Broome,2020,198145
Cattaraugus,2020,76977
Cayuga,2020,76107
Chautauqua,2020,127383
Chemung,2020,83652
Chenango,2020,47071
Clinton,2020,79713
Columbia,2020,61468
Cortland,2020,46745
Delaware,2020,44215
Dutchess,2020,296309
Erie,2020,952491
Essex,2020,37275
Franklin,2020,47252
Fulton,2020,53084
Genesee,2020,58299
Greene,2020,47743
Hamilton,2020,5073
Herkimer,2020,60043
Jefferson,2020,116075
Kings,2020,2722259
Lewis,2020,26571
Livingston,2020,61577
Madison,2020,67942
Monroe,2020,758384
Montgomery,2020,49499
Nassau,2020,1390952
New York,2020,1687033
Niagara,2020,212118
Oneida,2020,231265
Onondaga,2020,475429
Ontario,2020,112467
Orange,2020,400973
Orleans,2020,40047
Oswego,2020,117437
Otsego,2020,58389
Putnam,2020,97636
Queens,2020,2385541
Rensselaer,2020,160889
Richmond,2020,495122
Rockland,2020,337429
Saratoga,2020,235815
Schenectady,2020,157874
Schoharie,2020,29758
Schuyler,2020,17863
Seneca,2020,33445
St. Lawrence,2020,108182
Steuben,2020,93371
Suffolk,2020,1521964
Sullivan,2020,78461
Tioga,2020,48352
Tompkins,2020,105508
Ulster,2020,181304
Warren,2020,65597
Washington,2020,61127
Wayne,2020,91201
Westchester,2020,1001451
Wyoming,2020,40264
Yates,2020,24735
Albany,2021,316195
Allegany,2021,46753
Bronx,2021,1420980
Broome,2021,198548
Cattaraugus,2021,76560
Cayuga,2021,75426
Chautauqua,2021,126549
Chemung,2021,83061
Chenango,2021,46604
Clinton,2021,79034
Columbia,2021,61949
Cortland,2021,46488
Delaware,2021,44736
Dutchess,2021,297659
Erie,2021,952725
Essex,2021,37238
Franklin,2021,46801
Fulton,2021,52862
Genesee,2021,57925
Greene,2021,48272
Hamilton,2021,5109
Herkimer,2021,60036
Jefferson,2021,117019
Kings,2021,2634576
Lewis,2021,26739
Livingston,2021,61662
Madison,2021,67405
Monroe,2021,754572
Montgomery,2021,49512
Nassau,2021,1391787
New York,2021,1569781
Niagara,2021,211778
Oneida,2021,229229
Onondaga,2021,471829
Ontario,2021,112698
Orange,2021,405133
Orleans,2021,39783
Oswego,2021,118057
Otsego,2021,60737
Putnam,2021,98272
Queens,2021,2328520
Rensselaer,2021,160634
Richmond,2021,494101
Rockland,2021,339874
Saratoga,2021,237939
Schenectady,2021,159796
Schoharie,2021,30147
Schuyler,2021,17790
Seneca,2021,33237
St. Lawrence,2021,107563
Steuben,2021,93060
Suffolk,2021,1533742
Sullivan,2021,79745
Tioga,2021,48097
Tompkins,2021,102567
Ulster,2021,183636
Warren,2021,65762
Washington,2021,60924
Wayne,2021,91181
Westchester,2021,1000252
Wyoming,2021,40125
Yates,2021,24574
Albany,2022,315764
Allegany,2022,46646
Bronx,2022,1384053
Broome,2022,197171
Cattaraugus,2022,76032
Cayuga,2022,74730
Chautauqua,2022,125558
Chemung,2022,81535
Chenango,2022,46334
Clinton,2022,78011
Columbia,2022,61176
Cortland,2022,46128
Delaware,2022,44771
Dutchess,2022,297214
Erie,2022,949276
Essex,2022,36756
Franklin,2022,46112
Fulton,2022,52403
Genesee,2022,57584
Greene,2022,47654
Hamilton,2022,5102
Herkimer,2022,59581
Jefferson,2022,115493
Kings,2022,2600751
Lewis,2022,26616
Livingston,2022,61356
Madison,2022,67059
Monroe,2022,750469
Montgomery,2022,49454
Nassau,2022,1388346
New York,2022,1593919
Niagara,2022,210403
Oneida,2022,228351
Onondaga,2022,469910
Ontario,2022,112499
Orange,2022,407314
Orleans,2022,39510
Oswego,2022,118150
Otsego,2022,60447
Putnam,2022,98361
Queens,2022,2291363
Rensselaer,2022,159213
Richmond,2022,492579
Rockland,2022,342154
Saratoga,2022,238523
Schenectady,2022,159790
Schoharie,2022,30059
Schuyler,2022,17591
Seneca,2022,32676
St. Lawrence,2022,106900
Steuben,2022,92427
Suffolk,2022,1531736
Sullivan,2022,79868
Tioga,2022,47724
Tompkins,2022,104177
Ulster,2022,182546
Warren,2022,65461
Washington,2022,60808
Wayne,2022,90839
Westchester,2022,994313
Wyoming,2022,39824
Yates,2022,24455
Albany,2023,317590
Allegany,2023,46694
Bronx,2023,1380478
Broome,2023,195934
Cattaraugus,2023,75671
Cayuga,2023,74563
Chautauqua,2023,125061
Chemung,2023,81090
Chenango,2023,45904
Clinton,2023,77905
Columbia,2023,60607
Cortland,2023,46004
Delaware,2023,44533
Dutchess,2023,297451
Erie,2023,947418
Essex,2023,36686
Franklin,2023,46224
Fulton,2023,52468
Genesee,2023,58016
Greene,2023,47411
Hamilton,2023,5068
Herkimer,2023,59551
Jefferson,2023,113280
Kings,2023,2611893
Lewis,2023,26568
Livingston,2023,61184
Madison,2023,67242
Monroe,2023,748957
Montgomery,2023,49531
Nassau,2023,1388940
New York,2023,1631534
Niagara,2023,209451
Oneida,2023,227555
Onondaga,2023,468524
Ontario,2023,112374
Orange,2023,410179
Orleans,2023,39567
Oswego,2023,117939
Otsego,2023,60581
