county,month,labor_force,employed,unemployed,unemployment_rate
Albany,1990-01,156700,151600,5100,3.2
Allegany,1990-01,22400,20500,1900,8.7
Bronx,1990-01,460000,421500,38600,8.4
Broome,1990-01,106600,101300,5300,5.0
Cattaraugus,1990-01,39100,36200,2900,7.5
Cayuga,1990-01,39200,36300,2900,7.5
Chautauqua,1990-01,68200,63500,4700,6.9
Chemung,1990-01,44600,42200,2400,5.5
Chenango,1990-01,25500,23800,1600,6.4
Clinton,1990-01,38500,35300,3100,8.1
Columbia,1990-01,30700,29600,1100,3.6
Cortland,1990-01,25100,23300,1800,7.2
Delaware,1990-01,22000,20600,1400,6.4
Dutchess,1990-01,134700,130800,3900,2.9
Erie,1990-01,473500,443900,29600,6.2
Essex,1990-01,17300,15600,1700,9.6
Franklin,1990-01,20600,17800,2800,13.7
Fulton,1990-01,27500,24600,3000,10.8
Genesee,1990-01,31600,29300,2200,7.1
Greene,1990-01,21600,20500,1100,5.3
Hamilton,1990-01,2700,2300,400,14.8
Herkimer,1990-01,30300,27900,2400,7.8
Jefferson,1990-01,46300,40900,5400,11.6
Kings,1990-01,965100,885500,79600,8.3
Lewis,1990-01,11900,10900,1100,9.2
Livingston,1990-01,32300,30400,1900,5.9
Madison,1990-01,35500,33100,2400,6.7
Monroe,1990-01,373200,359500,13700,3.7
Montgomery,1990-01,24700,22500,2100,8.6
Nassau,1990-01,698500,675700,22800,3.3
New York,1990-01,785400,734200,51200,6.5
Niagara,1990-01,110400,101000,9400,8.5
Oneida,1990-01,113600,107500,6100,5.4
Onondaga,1990-01,241400,231300,10100,4.2
Ontario,1990-01,50800,48000,2800,5.6
Orange,1990-01,150800,143600,7200,4.8
Orleans,1990-01,19900,18200,1700,8.4
Oswego,1990-01,57600,52700,4800,8.4
Otsego,1990-01,28400,26500,1900,6.7
Putnam,1990-01,47200,45900,1400,2.9
Queens,1990-01,954700,895900,58800,6.2
Rensselaer,1990-01,81100,77300,3800,4.6
Richmond,1990-01,180000,169500,10500,5.8
Rockland,1990-01,143100,138700,4400,3.1
Saratoga,1990-01,96400,92200,4300,4.4
Schenectady,1990-01,75000,71600,3400,4.5
Schoharie,1990-01,15300,14200,1100,7.1
Schuyler,1990-01,8800,8200,700,7.6
Seneca,1990-01,16400,15400,1000,6.1
St. Lawrence,1990-01,48600,43200,5400,11.0
Steuben,1990-01,46400,43300,3100,6.6
Suffolk,1990-01,711700,680600,31100,4.4
Sullivan,1990-01,32200,30000,2200,6.8
Tioga,1990-01,26600,25300,1300,4.7
Tompkins,1990-01,47200,45200,2000,4.2
Ulster,1990-01,84300,81200,3100,3.7
Warren,1990-01,30400,28000,2400,7.8
Washington,1990-01,27700,26100,1600,5.8
Wayne,1990-01,46200,43400,2800,6.0
Westchester,1990-01,471100,455000,16100,3.4
Wyoming,1990-01,19500,17900,1500,7.9
Yates,1990-01,10300,9600,700,6.5
Albany,1990-02,156500,151400,5100,3.3
Allegany,1990-02,23400,21500,1900,7.9
Bronx,1990-02,463000,423500,39500,8.5
Broome,1990-02,106500,100900,5600,5.3
Cattaraugus,1990-02,40200,37100,3200,7.8
Cayuga,1990-02,39300,36300,3000,7.7
Chautauqua,1990-02,68500,63800,4700,6.8
Chemung,1990-02,44200,41600,2600,5.8
Chenango,1990-02,25500,23800,1700,6.6
Clinton,1990-02,38300,35400,2900,7.7
Columbia,1990-02,30700,29500,1200,4.0
Cortland,1990-02,25600,23800,1800,7.0
Delaware,1990-02,22200,20600,1500,6.9
Dutchess,1990-02,133900,129800,4100,3.1
Erie,1990-02,476500,448500,28000,5.9
Essex,1990-02,17400,15500,1900,11.0
Franklin,1990-02,21000,18400,2600,12.3
Fulton,1990-02,26900,24200,2700,10.2
Genesee,1990-02,31600,29400,2200,7.0
Greene,1990-02,21400,20100,1300,5.9
Hamilton,1990-02,2700,2400,400,13.1
Herkimer,1990-02,30000,27800,2200,7.4
Jefferson,1990-02,46600,41000,5600,12.0
Kings,1990-02,968500,889700,78800,8.1
Lewis,1990-02,12200,10900,1200,10.1
Livingston,1990-02,32300,30500,1800,5.7
Madison,1990-02,35400,33100,2400,6.7
Monroe,1990-02,373900,360100,13800,3.7
Montgomery,1990-02,24800,22500,2300,9.3
Nassau,1990-02,692600,669000,23700,3.4
New York,1990-02,785500,737700,47800,6.1
Niagara,1990-02,109300,102100,7200,6.6
Oneida,1990-02,113500,107100,6300,5.6
Onondaga,1990-02,241700,231100,10600,4.4
Ontario,1990-02,51000,48100,2900,5.6
Orange,1990-02,149700,142700,7000,4.7
Orleans,1990-02,19600,18200,1400,7.2
Oswego,1990-02,57900,52700,5200,9.0
Otsego,1990-02,29000,27000,2000,6.9
Putnam,1990-02,46600,45100,1500,3.1
Queens,1990-02,958600,900100,58500,6.1
Rensselaer,1990-02,81200,77200,4000,4.9
Richmond,1990-02,181000,170300,10700,5.9
Rockland,1990-02,141900,137300,4600,3.2
Saratoga,1990-02,96500,92100,4400,4.6
Schenectady,1990-02,74900,71500,3400,4.5
Schoharie,1990-02,15300,14200,1100,7.2
Schuyler,1990-02,8800,8100,700,7.9
Seneca,1990-02,16400,15400,1000,6.2
St. Lawrence,1990-02,49800,44600,5200,10.4
Steuben,1990-02,46800,43600,3100,6.7
Suffolk,1990-02,705000,673900,31200,4.4
Sullivan,1990-02,31900,29600,2300,7.2
Tioga,1990-02,26700,25200,1500,5.6
Tompkins,1990-02,48700,46700,2000,4.2
Ulster,1990-02,84400,81000,3400,4.0
Warren,1990-02,30100,27900,2200,7.2
Washington,1990-02,27900,25900,1900,6.9
Wayne,1990-02,46500,43500,3000,6.5
