region,target,feature,coef,pvalue,ci_lower,ci_upper,r2,r2_adj,n_obs
NYC,medicaid_per_1k,const,309.40172,0.0,263.284158,355.519283,0.2159,0.192,475
NYC,medicaid_per_1k,unemp_rate,21.900869,0.0,16.694347,27.107391,0.2159,0.192,475
NYC,medicaid_per_1k,trend,0.755973,0.000111,0.37268,1.139267,0.2159,0.192,475
NYC,medicaid_per_1k,covid,-151.681131,0.0,-191.37559,-111.986672,0.2159,0.192,475
NYC,medicaid_per_1k,m_2,5.083266,0.843499,-45.382945,55.549476,0.2159,0.192,475
NYC,medicaid_per_1k,m_3,10.090979,0.693468,-40.087428,60.269386,0.2159,0.192,475
NYC,medicaid_per_1k,m_4,-3.465033,0.891137,-53.085544,46.155478,0.2159,0.192,475
NYC,medicaid_per_1k,m_5,-24.990363,0.378396,-80.595659,30.614933,0.2159,0.192,475
NYC,medicaid_per_1k,m_6,-21.138686,0.424582,-73.024927,30.747555,0.2159,0.192,475
NYC,medicaid_per_1k,m_7,-27.383147,0.301145,-79.289293,24.523,0.2159,0.192,475
NYC,medicaid_per_1k,m_8,-19.963046,0.439797,-70.610372,30.684279,0.2159,0.192,475
NYC,medicaid_per_1k,m_9,-6.531472,0.803992,-58.112034,45.049089,0.2159,0.192,475
NYC,medicaid_per_1k,m_10,4.715643,0.860443,-47.855093,57.286379,0.2159,0.192,475
NYC,medicaid_per_1k,m_11,2.034192,0.938161,-49.356137,53.424521,0.2159,0.192,475
NYC,medicaid_per_1k,m_12,4.14157,0.874578,-47.284104,55.567244,0.2159,0.192,475
Suburban,medicaid_per_1k,const,226.431368,0.0,205.641743,247.220993,0.0693,0.0518,760
Suburban,medicaid_per_1k,unemp_rate,-0.787454,0.565547,-3.473363,1.898455,0.0693,0.0518,760
Suburban,medicaid_per_1k,trend,0.662369,0.0,0.482647,0.84209,0.0693,0.0518,760
Suburban,medicaid_per_1k,covid,2.971144,0.659401,-10.241494,16.183781,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_2,-0.309719,0.979047,-23.422891,22.803452,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_3,-0.583363,0.960714,-23.795329,22.628603,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_4,0.307658,0.979522,-23.184605,23.799921,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_5,0.065898,0.995596,-23.334257,23.466054,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_6,0.197438,0.986859,-23.296652,23.691528,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_7,0.194223,0.987099,-23.348429,23.736874,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_8,-0.333096,0.977882,-23.881694,23.215503,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_9,-1.200358,0.920588,-24.799226,22.39851,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_10,2.129188,0.863274,-22.103913,26.362289,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_11,-1.918419,0.874319,-25.689855,21.853017,0.0693,0.0518,760
Suburban,medicaid_per_1k,m_12,-1.890046,0.876503,-25.727392,21.947299,0.0693,0.0518,760
Suburban,snap_per_1k,const,66.325118,0.0,55.117136,77.5331,0.0122,-0.0064,760
Suburban,snap_per_1k,unemp_rate,1.630631,0.039194,0.080796,3.180467,0.0122,-0.0064,760
Suburban,snap_per_1k,trend,0.060774,0.216796,-0.035668,0.157215,0.0122,-0.0064,760
Suburban,snap_per_1k,covid,-9.077114,0.008728,-15.860981,-2.293246,0.0122,-0.0064,760
Suburban,snap_per_1k,m_2,-0.382868,0.948816,-12.072715,11.306978,0.0122,-0.0064,760
Suburban,snap_per_1k,m_3,0.475608,0.936694,-11.260739,12.211954,0.0122,-0.0064,760
Suburban,snap_per_1k,m_4,-0.844532,0.889714,-12.781531,11.092467,0.0122,-0.0064,760
Suburban,snap_per_1k,m_5,0.150625,0.980156,-11.718526,12.019776,0.0122,-0.0064,760
Suburban,snap_per_1k,m_6,0.321313,0.957721,-11.557787,12.200412,0.0122,-0.0064,760
